ident,iata,municipality,lat,lon
EIDW,DUB,Dublin,53.4213,-6.2701
EICK,ORK,Cork,51.8413,-8.4911
EINN,SNN,Shannon,52.7020,-8.9248
EIKN,NOC,Knock,53.9103,-8.8185
EIKY,KIR,Kerry,52.1809,-9.5238
EIWF,WAT,Waterford,52.1872,-7.0870
EGLL,LHR,London,51.4706,-0.4619
EGKK,LGW,London,51.1481,-0.1903
EGSS,STN,London,51.8850,0.2350
EGGW,LTN,London,51.8747,-0.3683
EGLC,LCY,London,51.5053,0.0553
EGCC,MAN,Manchester,53.3537,-2.2750
EGGP,LPL,Liverpool,53.3336,-2.8497
EGBB,BHX,Birmingham,52.4539,-1.7480
EGPH,EDI,Edinburgh,55.9500,-3.3725
EGPF,GLA,Glasgow,55.8719,-4.4331
EGNT,NCL,Newcastle,55.0375,-1.6917
EGPD,ABZ,Aberdeen,57.2019,-2.1978
EGNX,EMA,Nottingham,52.8311,-1.3281
EGFF,CWL,Cardiff,51.3967,-3.3433
EGHI,SOU,Southampton,50.9503,-1.3568
EGGD,BRS,Bristol,51.3827,-2.7191
EGAA,BFS,Belfast,54.6575,-6.2158
EGAC,BHD,Belfast,54.6181,-5.8725
EGNM,LBA,Leeds,53.8659,-1.6606
EGHH,BOH,Bournemouth,50.7800,-1.8425
EGPE,INV,Inverness,57.5425,-4.0475
EGJJ,JER,Jersey,49.2079,-2.1955
EHAM,AMS,Amsterdam,52.3086,4.7639
EHEH,EIN,Eindhoven,51.4500,5.3745
EHRD,RTM,Rotterdam,51.9569,4.4372
EHGG,GRQ,Groningen,53.1197,6.5794
EBBR,BRU,Brussels,50.9014,4.4844
EBCI,CRL,Charleroi,50.4592,4.4538
EBAW,ANR,Antwerp,51.1894,4.4603
EBLG,LGG,Liege,50.6374,5.4432
ELLX,LUX,Luxembourg,49.6266,6.2115
LFPG,CDG,Paris,49.0128,2.5500
LFPO,ORY,Paris,48.7233,2.3794
LFBO,TLS,Toulouse,43.6294,1.3638
LFML,MRS,Marseille,43.4393,5.2214
LFLL,LYS,Lyon,45.7256,5.0811
LFMN,NCE,Nice,43.6584,7.2159
LFBD,BOD,Bordeaux,44.8283,-0.7156
LFRS,NTE,Nantes,47.1532,-1.6107
LFST,SXB,Strasbourg,48.5383,7.6282
LFRB,BES,Brest,48.4479,-4.4185
LFLC,CFE,Clermont-Ferrand,45.7867,3.1692
LFKJ,AJA,Ajaccio,41.9236,8.8029
EDDF,FRA,Frankfurt,50.0333,8.5706
EDDM,MUC,Munich,48.3538,11.7861
EDDB,BER,Berlin,52.3667,13.5033
EDDH,HAM,Hamburg,53.6304,9.9882
EDDK,CGN,Cologne,50.8659,7.1427
EDDL,DUS,Dusseldorf,51.2895,6.7668
EDDS,STR,Stuttgart,48.6899,9.2220
EDDV,HAJ,Hannover,52.4611,9.6851
